#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
51        0.1590        0.0885        0.4024        0.1147        0.1751        0.0483        0.0060        0.0020        0.0040        0.0556        0.5556        0.2500        0.0000        0.0000        0.0000        0.0278        0.0000        0.1111        0.0000         0.0000         0.0090         0.0202         0.0022         0.0000         0.0381         0.5987         0.3318         
52        0.1709        0.0932        0.3961        0.0893        0.1883        0.0485        0.0078        0.0019        0.0039        0.0690        0.5172        0.2414        0.0000        0.0000        0.0000        0.0345        0.0000        0.1379        0.0000         0.0000         0.0081         0.0224         0.0020         0.0000         0.0407         0.5671         0.3598         
53        0.1920        0.0779        0.3442        0.0924        0.2192        0.0616        0.0072        0.0018        0.0036        0.0588        0.6176        0.1765        0.0000        0.0000        0.0000        0.0294        0.0000        0.1176        0.0000         0.0000         0.0084         0.0231         0.0021         0.0000         0.0420         0.5714         0.3529         
54        0.1796        0.1092        0.3486        0.0775        0.2095        0.0687        0.0018        0.0018        0.0035        0.0833        0.5833        0.1250        0.0000        0.0000        0.0000        0.0417        0.0000        0.1667        0.0000         0.0000         0.0080         0.0281         0.0020         0.0000         0.0341         0.5431         0.3848         
55        0.1837        0.1325        0.3640        0.0636        0.1820        0.0583        0.0106        0.0018        0.0035        0.0952        0.6667        0.0000        0.0000        0.0000        0.0000        0.0476        0.0000        0.1905        0.0000         0.0000         0.0080         0.0240         0.0020         0.0000         0.0299         0.5509         0.3852         
56        0.1768        0.1089        0.3625        0.0750        0.2000        0.0625        0.0089        0.0018        0.0036        0.0952        0.6667        0.0000        0.0000        0.0000        0.0000        0.0476        0.0000        0.1905        0.0000         0.0000         0.0080         0.0261         0.0020         0.0000         0.0361         0.5522         0.3755         
57        0.1652        0.1234        0.3539        0.0490        0.2341        0.0581        0.0109        0.0018        0.0036        0.0909        0.6818        0.0000        0.0000        0.0000        0.0000        0.0455        0.0000        0.1818        0.0000         0.0000         0.0082         0.0246         0.0020         0.0000         0.0369         0.5840         0.3443         
58        0.1738        0.1360        0.3287        0.0534        0.2289        0.0637        0.0103        0.0017        0.0034        0.1053        0.6316        0.0000        0.0000        0.0000        0.0000        0.0526        0.0000        0.2105        0.0000         0.0000         0.0080         0.0241         0.0020         0.0000         0.0341         0.6044         0.3273         
59        0.1658        0.1487        0.3094        0.0564        0.2376        0.0667        0.0103        0.0017        0.0034        0.0870        0.6957        0.0000        0.0000        0.0000        0.0000        0.0435        0.0000        0.1739        0.0000         0.0000         0.0083         0.0249         0.0021         0.0000         0.0333         0.6466         0.2848         
60        0.1718        0.1168        0.2818        0.0962        0.2457        0.0756        0.0069        0.0017        0.0034        0.0435        0.7391        0.0000        0.0000        0.0000        0.0000        0.0435        0.0000        0.1739        0.0000         0.0000         0.0082         0.0185         0.0021         0.0000         0.0247         0.6420         0.3045         
61        0.1823        0.0848        0.2690        0.0993        0.2690        0.0794        0.0108        0.0018        0.0036        0.0741        0.7407        0.0000        0.0000        0.0000        0.0000        0.0370        0.0000        0.1481        0.0000         0.0000         0.0079         0.0158         0.0020         0.0000         0.0296         0.6324         0.3123         
62        0.1953        0.0958        0.2731        0.0958        0.2260        0.0976        0.0108        0.0018        0.0036        0.0952        0.6667        0.0000        0.0000        0.0000        0.0000        0.0476        0.0000        0.1905        0.0000         0.0000         0.0077         0.0212         0.0019         0.0000         0.0174         0.6409         0.3108         
63        0.2068        0.0583        0.2744        0.0940        0.2462        0.1034        0.0113        0.0019        0.0038        0.0909        0.6818        0.0000        0.0000        0.0000        0.0000        0.0455        0.0000        0.1818        0.0000         0.0000         0.0081         0.0222         0.0020         0.0000         0.0242         0.6794         0.2641         
64        0.2131        0.0378        0.2849        0.1016        0.2470        0.1036        0.0060        0.0020        0.0040        0.1250        0.5625        0.0000        0.0000        0.0000        0.0000        0.0625        0.0000        0.2500        0.0000         0.0000         0.0077         0.0288         0.0019         0.0000         0.0269         0.6603         0.2745         
65        0.1940        0.0500        0.3200        0.0660        0.2640        0.0940        0.0060        0.0020        0.0040        0.0909        0.6818        0.0000        0.0000        0.0000        0.0000        0.0455        0.0000        0.1818        0.0000         0.0000         0.0077         0.0250         0.0019         0.0000         0.0327         0.6788         0.2538         
66        0.2027        0.0546        0.2963        0.0585        0.2632        0.1170        0.0019        0.0019        0.0039        0.1111        0.6111        0.0000        0.0000        0.0000        0.0000        0.0556        0.0000        0.2222        0.0000         0.0000         0.0075         0.0283         0.0019         0.0000         0.0226         0.6887         0.2509         
67        0.1892        0.0657        0.2530        0.0837        0.2709        0.1275        0.0040        0.0020        0.0040        0.0952        0.6667        0.0000        0.0000        0.0000        0.0000        0.0476        0.0000        0.1905        0.0000         0.0000         0.0074         0.0242         0.0019         0.0000         0.0317         0.6834         0.2514         
68        0.1781        0.0725        0.2381        0.0911        0.2899        0.1222        0.0021        0.0021        0.0041        0.1250        0.5625        0.0000        0.0000        0.0000        0.0000        0.0625        0.0000        0.2500        0.0000         0.0000         0.0072         0.0250         0.0018         0.0000         0.0268         0.6816         0.2576         
